query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	triple_pattern_count	robustness_threshold	cost_threshold	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
L12	0.43313312530500003	0	CROP	0.0324070453644	149.95	3	0.0	0.0	3	5	False	0.001	0.001	1.0	35	0.40072607994060006	WatDiv	General
L12	0.41637802124	0	CROP	0.027861118316700004	149.95	3	0.0	0.0	3	5	False	0.001	0.001	1.0	35	0.3885169029233	WatDiv	General
L13	0.666046142578	2	CROP	0.0264089107513	166.472	3	0.0	0.0	3	5	False	0.001	0.001	1.0	82	0.6396372318267	WatDiv	General
L13	0.7243390083310001	2	CROP	0.0246870517731	166.472	3	0.0	0.0	3	5	False	0.001	0.001	1.0	82	0.6996519565579	WatDiv	General
L13	0.595541954041	2	CROP	0.0284581184387	166.472	3	0.0	0.0	3	5	False	0.001	0.001	1.0	82	0.5670838356022999	WatDiv	General
L14	0.431320905685	0	CROP	0.0257270336151	149.95	3	0.0	0.0	3	5	False	0.001	0.001	1.0	35	0.4055938720699	WatDiv	General
L14	0.46812796592699996	0	CROP	0.0410299301147	149.95	3	0.0	0.0	3	5	False	0.001	0.001	1.0	35	0.42709803581229994	WatDiv	General
L14	0.412985086441	0	CROP	0.0432279109955	149.95	3	0.0	0.0	3	5	False	0.001	0.001	1.0	35	0.3697571754455	WatDiv	General
L15	0.386981010437	1	CROP	0.0306289196014	160.464	3	0.0	0.0	3	5	False	0.001	0.001	1.0	46	0.3563520908356	WatDiv	General
L15	0.519207000732	1	CROP	0.0314919948578	160.464	3	0.0	0.0	3	5	False	0.001	0.001	1.0	46	0.48771500587419997	WatDiv	General
L15	0.525168895721	1	CROP	0.0279188156128	160.464	3	0.0	0.0	3	5	False	0.001	0.001	1.0	46	0.4972500801082	WatDiv	General
L21	4.23729705811	15	CROP	0.0355620384216	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	252	4.2017350196884005	WatDiv	General
L21	3.9027969837199996	15	CROP	0.0217800140381	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	252	3.8810169696818995	WatDiv	General
L21	4.2171151638	15	CROP	0.0255720615387	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	252	4.1915431022613	WatDiv	General
L22	3.8152260780300002	15	CROP	0.0279929637909	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	252	3.7872331142391	WatDiv	General
L22	4.11567592621	15	CROP	0.022962808609	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	252	4.092713117601	WatDiv	General
L22	3.61555600166	15	CROP	0.0409507751465	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	252	3.5746052265135	WatDiv	General
L23	22.739264965100002	48	CROP	0.0294978618622	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1338	22.7097671032378	WatDiv	General
L23	22.897792100900002	48	CROP	0.0295479297638	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1338	22.8682441711362	WatDiv	General
L23	22.436965942399997	48	CROP	0.027527809143099997	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1338	22.4094381332569	WatDiv	General
L24	22.0979859829	48	CROP	0.025619983673099995	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1338	22.0723659992269	WatDiv	General
L24	22.124036073699997	48	CROP	0.0240280628204	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1338	22.1000080108796	WatDiv	General
L24	21.409364938699998	48	CROP	0.041724920272800003	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	1338	21.3676400184272	WatDiv	General
L25	97.3359150887	236	CROP	0.0239770412445	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	5343	97.3119380474555	WatDiv	General
L25	96.86573386190001	236	CROP	0.027338027954099998	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	5343	96.83839583394591	WatDiv	General
L25	97.107391119	236	CROP	0.0325810909271	26.761	3	0.0	0.0	3	5	False	0.001	0.001	1.0	5343	97.0748100280729	WatDiv	General
L31	0.42371916770900003	38	CROP	0.0175290107727	146.447	2	0.0	0.0	3	5	False	0.001	0.001	1.0	38	0.4061901569363	WatDiv	General
L31	0.578346967697	38	CROP	0.0173268318176	146.447	2	0.0	0.0	3	5	False	0.001	0.001	1.0	38	0.5610201358794	WatDiv	General
L31	0.51663517952	38	CROP	0.0160949230194	146.447	2	0.0	0.0	3	5	False	0.001	0.001	1.0	38	0.5005402565006001	WatDiv	General
L32	0.33952999115000004	41	CROP	0.015305042266799998	130.431	2	0.0	0.0	3	5	False	0.001	0.001	1.0	22	0.3242249488832	WatDiv	General
L32	0.292701005936	41	CROP	0.0137209892273	130.431	2	0.0	0.0	3	5	False	0.001	0.001	1.0	22	0.27898001670870004	WatDiv	General
L32	0.373088121414	41	CROP	0.0161068439484	130.431	2	0.0	0.0	3	5	False	0.001	0.001	1.0	22	0.3569812774656	WatDiv	General
L33	0.539482116699	21	CROP	0.020566225051900002	138.439	2	0.0	0.0	3	5	False	0.001	0.001	1.0	30	0.5189158916471001	WatDiv	General
L33	0.532003164291	21	CROP	0.0146038532257	138.439	2	0.0	0.0	3	5	False	0.001	0.001	1.0	30	0.5173993110653	WatDiv	General
L33	0.52196097374	21	CROP	0.014708042144799998	138.439	2	0.0	0.0	3	5	False	0.001	0.001	1.0	30	0.5072529315951999	WatDiv	General
L34	0.5623018741610001	27	CROP	0.0122430324554	141.442	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.5500588417056	WatDiv	General
L34	0.521581888199	27	CROP	0.0146520137787	141.442	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.5069298744203	WatDiv	General
L34	0.549671888351	27	CROP	0.0122511386871	141.442	2	0.0	0.0	3	5	False	0.001	0.001	1.0	33	0.5374207496639	WatDiv	General
L35	0.402610063553	41	CROP	0.019275903701799997	130.431	2	0.0	0.0	3	5	False	0.001	0.001	1.0	22	0.3833341598512	WatDiv	General
