query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
L44,0.3374509811401367,0.021958112716674805,0.3154928684234619,33,57,False,False,0,1,31.269000000000002,31.269000000000002,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L44,0.383695125579834,0.017055034637451172,0.3666400909423828,33,57,False,False,0,1,31.269000000000002,31.269000000000002,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L44,0.36798095703125,0.023764848709106445,0.34421610832214355,33,57,False,False,0,1,31.269000000000002,31.269000000000002,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L44,0.36430907249450684,0.023123979568481445,0.3411850929260254,33,57,False,False,0,1,31.269000000000002,31.269000000000002,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L44,0.36968207359313965,0.023174047470092773,0.3465080261230469,33,57,False,False,0,1,31.269000000000002,31.269000000000002,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L44,0.3576500415802002,0.026566028594970703,0.3310840129852295,33,57,False,False,0,1,31.269000000000002,31.269000000000002,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L44,0.3580188751220703,0.023991107940673828,0.3340277671813965,33,57,False,False,0,1,31.269000000000002,31.269000000000002,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L44,0.3662281036376953,0.02863311767578125,0.33759498596191406,33,57,False,False,0,1,31.269000000000002,31.269000000000002,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L52,12.084689855575562,0.03091716766357422,12.053772687911987,1081,66,False,False,2,0,27.816000000000003,22071.137000000002,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
L52,11.811434030532837,0.03466796875,11.776766061782837,1081,66,False,False,2,0,27.316000000000003,12059.636999999999,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,3
