query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
F32,0.5361800193786621,0.11819696426391602,0.4179830551147461,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.25,0.1,WatDiv,WatDiv,6
F32,0.46045684814453125,0.0854949951171875,0.37496185302734375,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.25,0.3,WatDiv,WatDiv,6
F32,0.5187110900878906,0.11724686622619629,0.40146422386169434,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.25,0.5,WatDiv,WatDiv,6
F32,0.5191750526428223,0.12259197235107422,0.39658308029174805,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.25,0.7,WatDiv,WatDiv,6
F32,0.501121997833252,0.11693120002746582,0.38419079780578613,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.25,0.9,WatDiv,WatDiv,6
F35,0.44469499588012695,0.08473992347717285,0.3599550724029541,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.05,0.1,WatDiv,WatDiv,6
F35,0.46666407585144043,0.0866391658782959,0.38002490997314453,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.05,0.3,WatDiv,WatDiv,6
F35,0.4393489360809326,0.08187508583068848,0.35747385025024414,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.05,0.5,WatDiv,WatDiv,6
F35,0.5008120536804199,0.11953902244567871,0.3812730312347412,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.05,0.7,WatDiv,WatDiv,6
F35,0.48685693740844727,0.12251520156860352,0.36434173583984375,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.05,0.9,WatDiv,WatDiv,6
F35,0.4349939823150635,0.0864419937133789,0.34855198860168457,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.1,0.1,WatDiv,WatDiv,6
F35,0.47703099250793457,0.08648681640625,0.39054417610168457,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.1,0.3,WatDiv,WatDiv,6
F35,0.49158310890197754,0.08814311027526855,0.403439998626709,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.1,0.5,WatDiv,WatDiv,6
F35,0.5029599666595459,0.12537002563476562,0.3775899410247803,100,5,False,False,4,1,475.8738333333333,1360.5278333333335,4.0,4,5,0,True,0.1,0.7,WatDiv,WatDiv,6
