approach	dief_t	dief_t_relative	t_max	t_min	test	dataset	rank
comunica	0.7720000000000012	0.039150058319387455	0.9390000000000001	0.398880004883	example/watdiv//L33.rq	watdiv	3.0
nLDE	19.5152577095055	0.7536885532578497	0.9590000000000001	0.4797918796540001	example/watdiv//L34.rq	watdiv	1.0
CROP	18.902934902192502	0.7300403546206504	0.9590000000000001	0.4797918796540001	example/watdiv//L34.rq	watdiv	2.0
comunica	1.8235000000000023	0.07042443903757781	0.9590000000000001	0.4797918796540001	example/watdiv//L34.rq	watdiv	3.0
nLDE	28.5115740633026	0.6885190548974305	1.01	0.362086057663	example/watdiv//L35.rq	watdiv	2.0
CROP	28.711758885379545	0.6933532693885425	1.01	0.362086057663	example/watdiv//L35.rq	watdiv	1.0
comunica	0.7979999999999994	0.019270707558560717	1.01	0.362086057663	example/watdiv//L35.rq	watdiv	3.0
nLDE	123.89974249649228	0.947332648992968	2.4219999999999997	0.257261991501	example/watdiv//L41.rq	watdiv	1.0
CROP	122.07049633312272	0.9333463034309167	2.4219999999999997	0.257261991501	example/watdiv//L41.rq	watdiv	2.0
comunica	45.661999999999985	0.3491298895923173	2.4219999999999997	0.257261991501	example/watdiv//L41.rq	watdiv	3.0
nLDE	146.07041354656013	0.9388765493415615	2.593	0.28120398521400003	example/watdiv//L42.rq	watdiv	1.0
CROP	145.7887236642853	0.9370659703322105	2.593	0.28120398521400003	example/watdiv//L42.rq	watdiv	2.0
comunica	52.006499999999996	0.33427497107597376	2.593	0.28120398521400003	example/watdiv//L42.rq	watdiv	3.0
nLDE	106.23559750366155	0.9305606676739534	2.4290000000000003	0.293394804001	example/watdiv//L43.rq	watdiv	1.0
CROP	105.85412944602561	0.9272192343055596	2.4290000000000003	0.293394804001	example/watdiv//L43.rq	watdiv	2.0
comunica	34.52450000000002	0.3024140921314262	2.4290000000000003	0.293394804001	example/watdiv//L43.rq	watdiv	3.0
nLDE	125.40998296070018	0.9267797555439791	2.374	0.290324926376	example/watdiv//L44.rq	watdiv	2.0
CROP	125.89657048511457	0.9303756372774838	2.374	0.290324926376	example/watdiv//L44.rq	watdiv	1.0
comunica	42.740500000000004	0.31585228868295423	2.374	0.290324926376	example/watdiv//L44.rq	watdiv	3.0
